,t,I
0,0.0,1.0
1,0.5,1.64765
2,1.0,2.71362
3,1.5,4.46614
4,2.0,7.34215
5,2.5,12.04777
6,3.0,19.70937
7,3.5,32.08503
8,4.0,51.82066
9,4.5,82.65906
10,5.0,129.34588
11,5.5,196.74642
12,6.0,287.66437
13,6.5,399.69052
14,7.0,523.29443
15,7.5,644.1094
16,8.0,748.99233
17,8.5,831.07219
18,9.0,890.24491
19,9.5,930.42559
20,10.0,956.61326
21,10.5,973.22757
22,11.0,983.58882
23,11.5,989.98142
24,12.0,993.89938
25,12.5,996.29088
26,13.0,997.74702
27,13.5,998.63229
28,14.0,999.16999
29,14.5,999.49641
30,15.0,999.6945
